ID,Year,First Name,Middle Name,Last Name,party,Level,Position,state,District,race_ethnicity,immigration_visibility,highest_degree_held,professional_background,evidence_summary,source_links,confidence,verification_note
477852k,2026,Carol,,Ammons,Democrat,State Legislative,State Representative,Illinois - IL,103,Black,no_public_evidence,bachelor,nonprofit_advocacy,Former member of Urbana City Council and county board; background in community organizing and nonprofit leadership. Degree from Curtis Baptist Bible College.,https://illinoishousegop.org/; https://www.carolammons.com/,High,Education verified via official bio.
724507k,2026,Dagmara,,Avelar,Democrat,State Legislative,State Representative,Illinois - IL,85,Latina,naturalized_citizen,master,nonprofit_advocacy,Publicly identifies as a naturalized citizen and former DACA recipient. Master's in Urban Planning and Policy from UIC.,https://www.reprepavelar.com/about; https://www.ilga.gov/,High,Immigration status is a core part of her public platform.
804306k,2026,Diane,,Blair-Sherlock,Democrat,State Legislative,State Representative,Illinois - IL,46,White,no_public_evidence,jd,law,Practicing attorney with a focus on real estate and probate law. JD from Northern Illinois University.,https://www.ilga.gov/house/Rep.asp?MemberID=3080,High,Professional background clearly documented in ILGA bio.
636089k,2026,Amy,Murri,Briel,Democrat,State Legislative,State Representative,Illinois - IL,76,White,no_public_evidence,bachelor,government_public_service,Served as Chief of Staff for her predecessor; background in local government and community service.,https://www.amybriel.com/; https://www.ilga.gov/,High,Career path documented via legislative staff history.
477858k,2026,Terri,,Bryant,Republican,State Legislative,State Senator,Illinois - IL,58,White,no_public_evidence,bachelor,government_public_service,Extensive career in the Illinois Department of Corrections prior to election. Degree from Lake Land College/Eastern Illinois University.,https://www.senatorterribryant.com/about,High,Professional background in public service/corrections.
804395k,2026,Mary Beth,,Canty,Democrat,State Legislative,State Representative,Illinois - IL,54,"White, Black",no_public_evidence,jd,law,Attorney and management consultant; served as Arlington Heights Trustee. JD from University of Arizona.,https://www.repmarybethcanty.com/,High,Law and business background confirmed.
343438k,2026,Kelly,M.,Cassidy,Democrat,State Legislative,State Representative,Illinois - IL,14,White,no_public_evidence,unclear,nonprofit_advocacy,Longtime advocate; worked for the State's Attorney's Office and various advocacy groups. Educational specifics often omitted.,https://www.repcassidy.com/,Medium,Highest degree level not explicitly cited.
560946k,2026,Cristina,,Castro,Democrat,State Legislative,State Senator,Illinois - IL,22,Latina,no_public_evidence,master,business,Background in marketing and management; former Kane County Board member. Master of Business Administration.,https://www.senatorcristinacastro.com/,High,Business background and degrees well-documented.
804553k,2026,Sharon,,Chung,Democrat,State Legislative,State Representative,Illinois - IL,91,Asian American/Pacific Islander,child_of_immigrants,master,education,Professional musician and educator. Mentions parents immigrating from South Korea in official bio. Master of Music.,https://www.repcc.com/about; https://www.ilga.gov/,High,Immigration visibility and education clearly stated.
724218k,2026,Lakesia,,Collins,Democrat,State Legislative,State Senator,Illinois - IL,5,Black,no_public_evidence,high_school,labor_union,Former Certified Nursing Assistant and labor advocate/organizer for SEIU. Graduate of Proviso East High School.,https://ilga.gov/House/Members/Details/3443,High,High school listed; no higher degree in bios.
724186k,2026,Margaret,,Croke,Democrat,State Legislative,State Representative,Illinois - IL,12,White,no_public_evidence,bachelor,government_public_service,Served as Deputy Chief of Staff for IL Dept of Commerce. BA in Political Science and Communications from Michigan.,https://ballotpedia.org/Margaret_Croke,High,Background in state government roles.
859499k,2026,Lisa,J.,Davis,Democrat,State Legislative,State Representative,Illinois - IL,32,Black,no_public_evidence,jd,law,Practicing attorney. BS in Psychology from UIUC; JD from Northern Illinois University.,https://ilhousedems.com/project/rep-lisa-davis/,High,Law degree and practice verified.
796401k,2026,Regan,,Deering,Republican,State Legislative,State Representative,Illinois - IL,88,White,no_public_evidence,master,education,Former educator and small business owner (tutoring franchise). Master of Education from DePaul.,https://repdeering.com/about/,High,Education and business background verified.
936833k,2026,Margaret,A.,DeLaRosa,Democrat,State Legislative,State Representative,Illinois - IL,42,Latina,no_public_evidence,bachelor,business,Background in corporate management. BS in Accounting from DePaul University.,https://ilhousedems.com/project/delarosa/,High,Professional background in accounting/management.
859512k,2026,Martha,,Deuter,Democrat,State Legislative,State Representative,Illinois - IL,45,White,no_public_evidence,master,government_public_service,Former Elmhurst City Council member and policy director for Chicago Dept of Housing. Graduate degree from UChicago.,https://www.repmartideuter.com/meetmarti,High,Local government and policy background verified.
