Law Passed,Gemini Response,Claude Response
CA SJR 9 - Immigrants in California: Mass Immigration Raids,"This law is basically a formal way for California to say they ""strongly disagree"" with mass immigration raids and the use of the military for enforcement, while promising to put more resources into protecting immigrant families and their legal rights.","This is California's official statement condemning the federal government's mass immigration raids and military deployment in the state, and pledging to protect the rights and safety of immigrant families and workers."
IL HR 622 - Federal Agent Excessive and Deadly Force Condemnation,The point of this resolution is for the Illinois House to formally condemn recent instances of federal agents using deadly force and to call for an independent investigation into those actions.,"This is an Illinois House Resolution that condemns what it calls excessive and deadly force by federal immigration agents (ICE, Border Patrol, etc.) under the Trump administration, calls for an independent investigation into the shootings, and demands the resignation or impeachment of DHS Secretary Kristi Noem."
IL HR 504 - Fair Judicial System,,
IL H 1312 - Illinois Bivens Act,,
IL H 3247 - School Code,,
AZ S 1376 - Department of Emergency and Military Affairs Funding,,
AZ S 1720 - General Appropriations Act,,
CA S 852 - Searches: Supervised Persons,,
CA A 1261 - Crime: Witnesses and Informants,,
AZ SR 1036 - Expresses Disapproval of Attorney General Public Statements,,
IL HR 504 - Fair Judicial System,"The point of Assembly Bill 49 is to make schools ""safe havens"" by requiring immigration officers to have a judicial warrant before entering private campus areas or accessing student records.","This law requires California schools to protect students from immigration enforcement by not letting immigration agents into non-public areas of school grounds without a court-issued warrant, and not handing over any student or family information to those agents without one either."
IL H 1312 - Illinois Bivens Act,,
IL H 3247 - School Code,,
CA A 49 - Schoolsites: Immigration Enforcement,,
CA S 307 - Public Postsecondary Education: Immigration Enforcement,"This law, SB 307, makes sure that undocumented students at California public universities don't lose their financial aid or academic standing if they miss class due to immigration enforcement actions.","This law requires California State University (and asks UC) to protect undocumented students who miss school due to immigration enforcement — making sure they don't lose their financial aid, in-state tuition, or their spot in class, and can pick up right where they left off when they return."
CA A 419 - Educational Equity: Immigration Enforcement,"Basically, this law makes sure California schools stay a safe place for everyone by keeping immigration enforcement off-campus and ensuring that your personal info or immigration status isn't collected or shared without a very good legal reason.",This law requires California schools to publicly post information telling students and families their rights if immigration enforcement shows up at school.
CA S 580 - Attorney General: Immigration Enforcement Policies,,
CA A 1261 - Crime: witnesses and informants.,"This law, Assembly Bill 1261, makes it easier and safer for immigrant victims and witnesses of crimes to help law enforcement by protecting their rights and streamlining the process for them to apply for legal status.","This law makes it easier for immigrant crime victims and witnesses to get the paperwork they need to protect their immigration status — regardless of their criminal history, immigration status, or whether the case is still open."
 IL H 3326 - AN ACT concerning transportation.,"This law, Public Act 103-0540, basically stops Illinois police and agencies from sharing license plate reader data with other states to help them track or punish people for getting an abortion or for their immigration status.",This Illinois law prevents police from using automated license plate readers (those cameras that scan your car's plates) to track or share your location data with other states or agencies if the goal is to investigate you for getting an abortion or for your immigration status.
AZ H 2862 - General Appropriations Act,"This law is essentially a massive to-do list and piggy bank for the state of Arizona, laying out exactly how much money each government department gets to spend and what specific projects—like school repairs, police equipment, and new technology—they need to finish.","This is Arizona's 2022-2023 general appropriations bill — basically, it's the state's budget law that decides how much money gets spent on various government projects, like moving a data center, building a business web portal, updating school financial reporting, and improving the child care management system."
CA S 836 - Evidence: Immigration Status,"Basically, this law stops lawyers from bringing up someone's immigration status in court unless a judge holds a private meeting first to decide if it's actually relevant to the case.",This law says that no one can bring up a person's immigration status in open court — in either a civil or criminal case — unless a judge privately reviews it first and decides it's actually relevant to the case.
CA A 1259 - Criminal Procedure: Motion to Vacate,"This law, AB 1259, makes it easier for people who are no longer in custody to clear a past conviction from their record if they didn't realize at the time that it would cause them serious immigration problems.","This law makes it easier for immigrants to challenge and potentially throw out old criminal convictions that could get them deported, even if the problem wasn't just with their guilty plea but with the entire conviction or sentence."
